stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA1;21/04/2024  16h00;14°C;14°C;21,6;21,5;21,6
Sonde SA3;21/04/2024  16h00;14°C;14,2°C;22;0,2;22
Sonde SA1;21/04/2024  17h00;13.9°C;14°C;21,6;21,5;21,6
Sonde SA3;21/04/2024  17h00;13.9°C;14,2°C;22;0,2;22,1
Sonde SA1;21/04/2024  18h00;13.3°C;13,9°C;21,6;21,5;21,6
Sonde SA3;21/04/2024  18h00;13.3°C;14,1°C;22;0,2;22
Sonde SA1;21/04/2024  19h00;12.6°C;13,9°C;21,5;21,5;21,5
Sonde SA3;21/04/2024  19h00;12.6°C;14,1°C;22;0,2;22
Sonde SA1;21/04/2024  20h00;12.3°C;13,6°C;21,4;21,3;21,4
Sonde SA3;21/04/2024  20h00;12.3°C;14°C;22;0,2;22
