stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA3;15/04/2024  21h30;19.4°C;17,2°C;20,2;0,2;23,8
Sonde SA1;15/04/2024  22h00;18.1°C;16,3°C;20;20,4;21,9
Sonde SA3;15/04/2024  22h30;18.1°C;16,6°C;20,4;0,2;24,1
Sonde SA1;15/04/2024  23h00;17.4°C;16,3°C;20;21,4;22
Sonde SA3;15/04/2024  23h30;17.4°C;16,4°C;20,4;0,2;24,1
Sonde SA1;16/04/2024  02h00;15.5°C;15,8°C;20,3;20;22,6
Sonde SA3;16/04/2024  02h30;15.5°C;16,3°C;20,4;0,2;27,3
Sonde SA1;16/04/2024  03h00;14.6°C;15,7°C;20,3;20,1;23
Sonde SA3;16/04/2024  03h30;14.6°C;16,3°C;20,4;0,2;29,5
Sonde SA1;16/04/2024  04h00;14.6°C;15,7°C;20,3;20,1;23,3
Sonde SA3;16/04/2024  04h30;14.6°C;16,5°C;20,4;0,2;28,9
Sonde SA1;16/04/2024  05h00;14.4°C;15,6°C;20,4;20,2;23,6
Sonde SA3;16/04/2024  05h00;14.4°C;16,5°C;20,3;0,2;27,4
Sonde SA1;16/04/2024  06h00;14°C;15,5°C;20,4;20,1;23,8
Sonde SA3;16/04/2024  06h00;14°C;16,3°C;20,4;0,2;25,5
Sonde SA1;16/04/2024  07h00;13.5°C;15,4°C;20,4;20,1;23,8
Sonde SA3;16/04/2024  07h30;13.5°C;16,1°C;20,5;0,2;24,6
Sonde SA1;16/04/2024  08h00;13.5°C;15,3°C;20,4;20,1;23,8
Sonde SA3;16/04/2024  08h30;13.5°C;16,1°C;20,4;0,2;24,2
Sonde SA1;16/04/2024  09h00;14.8°C;15,4°C;20,5;20,4;23,4
Sonde SA3;16/04/2024  09h30;14.8°C;16,1°C;20,4;0,2;22,9
Sonde SA1;16/04/2024  10h00;14°C;15,4°C;20,6;20,7;23,5
Sonde SA3;16/04/2024  10h30;14°C;16,1°C;20,5;0,2;22,4
Sonde SA1;16/04/2024  11h00;13.8°C;15,4°C;20,7;20,8;22,8
Sonde SA3;16/04/2024  11h30;13.8°C;16°C;20,6;0,2;21
Sonde SA1;16/04/2024  12h00;13.8°C;15,3°C;20,8;20,9;21,8
Sonde SA3;16/04/2024  12h30;13.8°C;16,1°C;20,6;0,2;20,8
Sonde SA1;16/04/2024  13h00;14.1°C;15,2°C;21;21,1;21,7
Sonde SA3;16/04/2024  13h00;14.1°C;16,1°C;20,6;0,2;20,6
